Title,Subtitle,Author,Date,Kind,Description,Design Elements,Film,Awards
Fusion,The Performance of Architecture,Payette,2020,Monograph,,,,
Hudson Modern,Residential Landscapes,David Sokol,2018,Editorial,,,,
Wayne Thom,Photographing the Late Modern,Emily Bills,,Monograph,"<p class=""font_8"">The first monograph of photographer Wayne Thom, whose documentation of Late Modern architecture constitutes an architectural/visual archive unlike any other.</p>
<p class=""font_8""><br></p>
<p class=""font_8"">A crucial primer to late-twentieth-century Modernism, this monograph devoted to Wayne Thom chronicles his photographic practice and the architectural and urban environment in which he worked. An innovative chronicler of the booming West Coast urbanism of the 1960s and 70s, Thom's photographs of key projects by path-breaking architecture firms such as William Pereira &amp; Associates, Edward Durell Stone, SOM, Gio Ponti, John Portman, I. M. Pei, and A. Quincy Jones helped establish the idea of cool architectural glamour of the era.</p>
<p class=""font_8""><br></p>
<p class=""font_8"">Raised in Hong Kong, Thom moved to California in the mid-1960s and trained in the technical craftsmanship of photography, adept at harnessing natural light for both interior and exterior compositions. He soon began working with the figures who would become his clients and benefactors, most importantly William Pereira and A. Quincy Jones, a prolific architect and Dean of the School of Architecture at USC.</p>
<p class=""font_8""><br></p>
<p class=""font_8"">As Emily Bills critically assess Thom's career, she demonstrates that his photography became inseparable from Late Modernism in the popular imagination, a period of architectural production that ran from the late 1960s through the 1980s. <em>Wayne Thom: Photographing the Late Modern</em> is a celebration of this key architectural photographer and a unique chronicle of the works of this transformative period of architectural expression.</p>",,,
A Form of Practice,Adèle Naudé,Adèle Naudé Santos,2023,Monograph,"<p class=""font_8""><em>Adèle Naudé: A Form of Practic</em>e celebrates the architect's forty years of practice and teaching. In notable academic leadership positions, Naudé taught across many locations globally, and her practice followed to new locations around the world. <em>A Form of Practice</em> is the first comprehensive monograph presenting the work and academic contributions by Naudé—from South Africa and Chile to Japan and the United States.</p>",,,
Heroic,Concrete Architecture and the New Boston,"Chris Grimley, Michael Kubo & Mark Pasnik",2015,History & Preservation,"<p class=""font_8""><strong>A key primer to the broad range of ground-breaking concrete architecture - inclusive of, but well beyond, brutalism - as it developed in its most accommodating city, Boston, and an important contribution to the efforts to preserve the built legacy of this era.</strong></p>
<p class=""font_8""><br></p>
<p class=""font_8"">Often problematically labeled as "Brutalist" architecture, the concrete buildings that transformed Boston during 1960s and 1970s were conceived with progressive-minded intentions by some of the world's most influential designers, including Marcel Breuer, Le Corbusier, I. M. Pei, Henry Cobb, Araldo Cossutta, Gerhard Kallmann and Michael McKinnell, Paul Rudolph, Josep Lluís Sert, and The Architects Collaborative.</p>
<p class=""font_8""><br></p>
<p class=""font_8"">As a worldwide phenomenon, building with concrete represents one of the major architectural movements of the postwar years, but in Boston it was deployed in more numerous and diverse civic, cultural, and academic projects than in any other major U.S. city. After decades of stagnation and corrupt leadership, public investment in Boston in the 1960s catalyzed enormous growth, resulting in a generation of bold buildings that shared a vocabulary of concrete modernism.</p>
<p class=""font_8""><br></p>
<p class=""font_8"">The period from the 1960 arrival of Edward J. Logue as the powerful and often controversial director of the Boston Redevelopment Authority to the reopening of Quincy Market in 1976 saw Boston as an urban laboratory for the exploration of concrete's structural and sculptural qualities. What emerged was a vision for the city's widespread revitalization often referred to as the "New Boston."</p>
<p class=""font_8"">Today, when concrete buildings across the nation are in danger of insensitive renovation or demolition, Heroic presents the concrete structures that defined Boston during this remarkable period - from the well-known (Boston City Hall, New England Aquarium, and cornerstones of the Massachusetts Institute of Technology and Harvard University) to the already lost (Mary Otis Stevens and Thomas F. McNulty's concrete Lincoln House and Studio; Sert, Jackson &amp; Associates' Martin Luther King Jr. Elementary School) - with hundreds of images; essays by architectural historians Joan Ockman, Lizabeth Cohen, Keith N. Morgan, and Douglass Shand-Tucci; and interviews with a number of the architects themselves.</p>
<p class=""font_8""><br></p>
<p class=""font_8"">The product of eight years of research and advocacy, Heroic surveys the intentions and aspirations of this period and considers anew its legacies - both troubled and inspired.</p>","<p class=""font_8"">This should have infromation about fonts and things.</p>",,"Boston Preservation Alliance, docomomo US"
Megastructure,Urban Futures of the Recent Past,Rayner Banham,2020,Facsimile and Reproduction,,,,
Universal Principles,"100 Ways to Develop Innovative Ideas, Enhance Usability, and Design Effective Solutions",Kelly Harris Smith and Chris Grimley,2021,Interior Design,"<p class=""font_8""><em><strong>Universal Principles of Interior Design </strong></em><strong>presents 100 concepts and guidelines that are critical to a successful visualization and application of interior design. </strong><br>
<br>
Richly illustrated and easy to navigate, this comprehensive reference pairs clear explanations of every topic with visual examples of it applied in practice. By considering these concepts and examples, you can learn to make more informed and ultimately better design decisions.<br>
<br>
The book is organized alphabetically so that principles can be easily and quickly referenced. For those interested in addressing a specific challenge or application problem, the principles are also indexed by questions commonly confronting designers. Each principle is presented in a two-page format:</p>
<ul class=""font_8"">
  <li><p class=""font_8"">The left-hand page contains a succinct definition, a&nbsp;full description of the principle, and examples of and guidelines for its use. Side notes, which appear to the right of the text, provide elaborations and references.</p></li>
  <li><p class=""font_8"">The right-hand page contains visual examples and related graphics to support a deeper understanding of the principle.</p></li>
</ul>
<p class=""font_8"">This landmark reference is the standard for interior design students, practitioners, and educators, and others who seek to broaden and improve their understanding of and expertise in interior design..</p>",,,
The Edith Farnsworth House,"Architecture, Preservation, Culture ",Michelangelo Sabatino,2024,Architecture & Preservation,"<p class=""font_8""><strong>The comprehensive story of an icon of modern architecture: the Edith Farnsworth House, designed by Mies van der Rohe</strong></p>
<p class=""font_8""><br></p>
<p class=""font_8"">One of the most famous residences in modern history, a glass and steel marvel that seems to float above its site, the Edith Farnsworth House had been legendary in the public imagination long before it could be widely accessed. This book charts the house's original design by Mies van der Rohe and periods of neglect, flooding, and new ownership by Lord Peter Palumbo.</p>
<p class=""font_8""><br></p>
<p class=""font_8"">Now publicly accessible and celebrating twenty years of being owned and administered by the National Trust for Historic Preservation, this icon of modern architecture commissioned by client and patron Edith Farnsworth now gets its due. The Edith Farnsworth House is one of the most prized residences in modern architectural history, whose sometimes fraught history culminates in its publicly accessible life today.</p>
<p class=""font_8""><br></p>
<p class=""font_8"">The book, which newly foregrounds the key role of client Edith Farnsworth, is written and edited by Michelangelo Sabatino, who contributes deep expertise on modernist architecture, and includes an essay by architectural historian Dietrich Neumann, excerpts of Edith Farnsworth's unpublished memoir, as well as interviews with Mies's grandson Dirk Lohan, and the house's second owner, Lord Peter Palumbo. Published in association with the National Trust for Historic Preservation, this book is published is a trove of cultural and visual history, and includes photographs by Hedrich Blessing, Hiroshi Sugimoto, and Annie Leibovitz, in addition to documentation of cultural collaborations with artists, designers, and performance troupes such as Virgil Abloh, Iñigo Manglano-Ovalle, and Gerard &amp; Kelly.</p>","<ul class=""font_8"">
  <li><p class=""font_8"">Format: Hardback</p></li>
  <li><p class=""font_8"">Size: 305 × 254 mm (12 1/64 × 10 in)</p></li>
  <li><p class=""font_8"">Pages: 256 pp</p></li>
  <li><p class=""font_8"">Illustrations: 225 illustrations</p></li>
  <li><p class=""font_8"">ISBN: 9781580936194</p></li>
</ul>",,
Hamptons Modern,Contemporary Living on the East End,David Sokol,2022,Editorial,"<p class=""font_8""><strong>A visual celebration of New York's legendary summer retreat as the vanguard of residential design today.</strong></p>
<p class=""font_8"">There are few places in the United States that have experienced as many waves of American modernism as Long Island's East End, long known as a haven for the wealthy and glamorous. In Hamptons Modern, author David Sokol explores the latest architectural experiments taking place in New York's legendary summer retreat. With contemporary design increasingly favored in the region, the eighteen residences featured here reflect modernism's spread across both forks (and as far west as Bellport, which has become a cultural gateway to the Hamptons).</p>
<p class=""font_8"">Yet perhaps more important, these houses represent a shift away from the image of conspicuously sprawling properties for the elite; these projects return to modernism's founding principles, shun Instagrammable spectacle, and steward the East End's increasingly fragile landscape.</p>
<p class=""font_8"">These houses interface with the seaside landscape in ways that reference the Hamptons' rich design history and sensitively highlight Long Island's famed natural beauty. Some are renovations and additions to houses by famed twentieth-century modernists like Andrew Geller, Charles Gwathmey, and Norman Jaffe, and leading offices such as Bates Masi + Architects, Young Projects, Leroy Street Studio, and Ryall Sheridan Architects represent the contemporary approach to twenty-first century regionalism. Hamptons Modern presents these and numerous other examples of designforward residences that are responsive to terrain, building vernacular, and cultural legacy.</p>","<ul class=""font_8"">
  <li><p class=""font_8"">Format: Hardback</p></li>
  <li><p class=""font_8"">Size: 279 × 229 mm (11 × 9 in)</p></li>
  <li><p class=""font_8"">Pages: 224 pp</p></li>
  <li><p class=""font_8"">Illustrations: illustrations</p></li>
  <li><p class=""font_8"">ISBN: 9781580935944</p></li>
</ul>",,
Louis Kahn,Architecture as Philosophy,John Lobell,2020,Architecture & Philosophy,"<p class=""font_8""><strong>For everyone interested in the enduring appeal of Louis Kahn, this book demonstrates that a close look at how Kahn put his buildings together will reveal a deeply felt philosophy.</strong></p>
<p class=""font_8""><br></p>
<p class=""font_8"">Louis I. Kahn is one of the most influential and poetic architects of the twentieth century, a figure whose appeal extends beyond the realm of specialists.</p>
<p class=""font_8""><br></p>
<p class=""font_8"">In this book, noted Kahn expert John Lobell explores how Kahn's focus on structure, respect for materials, clarity of program, and reverence for details come together to manifest an overall philosophy. Kahn's work clearly conveys a kind of ""transcendent rootedness"" - a rootedness in the fundamentals of architecture that also asks soaring questions about our experience of light and space, and even how we fit into the world.</p>
<p class=""font_8""><br></p>
<p class=""font_8"">In <em>Louis Kahn: Architecture as Philosophy</em>, John Lobell seeks to reveal how Kahn's buildings speak to grand humanistic concerns. Through examinations of five of Kahn's great buildings - the Richards Medical Research Building in Philadelphia; the Salk Institute for Biological Studies in La Jolla; the Phillips Exeter Academy Library in New Hampshire; the Kimbell Art Museum in Fort Worth; and the Yale Center for British Art in New Haven - Lobell presents a clear but detailed look at how the way these buildings are put together presents Kahn's philosophy, including how Kahn wishes us to experience them.</p>
<p class=""font_8""><br></p>
<p class=""font_8"">An architecture book that touches on topics that addresses the universal human interests of consciousness and creativity, Louis Kahn: Architecture as Philosophy helps us understand our place and the nature of well-being in the built environment.</p>",,,
